brand,articul,note,source_url,source_tier,confidence_status,error,name,collection,mechanism,caliber,diameter,water_resistance,seconds
Bernhard H. Mayer,BM1016,Le Classique Rubber,https://zadwatch.com/products/le-classique-bernhard-h-mayer-bm1016-men?srsltid=AfmBOopmSWpiQCOenCYmGtv_Tj1Bykd9oEGt4sSmcPgSg1bNJmGDmY0C,reputable,partial,,Bernhard H. Mayer Le Classique BM1016,Le Classique,Кварцевый,не найдено,42 мм,100 м,104.57
Blancpain,5000-1110-B52A,Fifty Fathoms Bathyscaphe,https://everywatch.com/blancpain/fifty-fathoms/5000-1110-b52a/watch-15030956,reputable,partial,,Blancpain Fifty Fathoms Bathyscaphe 5000.1110.B52A,Fifty Fathoms Bathyscaphe,Механический,1315,43 мм,300 м,4206.28
Boegli,M908,Grand Opéra,,blocked,manual_check_required,,Boegli M908,,,,,,0
Bomberg,NS44CHPBA,BB-01,https://watcheson.ru/bomberg-ns44chpba-208-9,authorized,partial,,Bomberg NS44CHPBA.208.9,,Кварцевый,не найдено,44 мм,50 м,166.84
Bovet,R260004,guessed,https://www.mayors.com/Bovet-R%C3%A9cital-26-Brainstorm%C2%AE-Chapter-One-R260004/p/18410119?srsltid=AfmBOoqetr6sKj5E0gIncbMpJ-6MvK66cSGZbWC3YZEilhPCuMEWvNNy,unknown,partial,,Bovet Récital 26 Brainstorm® Chapter One R260004,Récital 26 Brainstorm® Chapter One,Механический,не найдено,не найдено,не найдено,145.88
Breguet,5177BB/29/9V6,Classique 5177,https://monochrome-watches.com/introducing-platinum-black-enamel-breguet-classique-5177-classique-7787-specs-price/,reputable,partial,,Breguet Classique 5177PT/2N/9V6.01,Classique,Механический,777 Q,38 мм,30 м,254.4
Breitling,A17367D71B1S1,Superocean,https://www.thewatchcompany.com/breitling-superocean-a17367d71b1s1.html?srsltid=AfmBOoo59ef4vy2GlqlVGrgx3NBxgG9YEbhGp2jKfvR4D2OEbkCJ1xSN,reputable,partial,,Breitling Superocean A17367D71B1S1,Superocean,Механический,Calibre 17,44 мм,не найдено,211.63
Bremont,S300/BK,Supermarine,,blocked,manual_check_required,,Bremont S300/BK,,,,,,0
Briller,BRI 2000,guessed,,blocked,manual_check_required,,Briller BRI 2000,,,,,,0
Bulova,96B358,Precisionist,https://www.bulova.com/us/en/catalog/product/96B358.html,official,partial,,Bulova Lunar Pilot Chronograph 96B358,Lunar Pilot,Кварцевый,не найдено,не найдено,не найдено,207.32
